account_id,cluster,is_mule
0,3,0
1,3,0
2,0,0
3,3,0
4,3,0
5,2,0
6,0,0
7,2,0
8,3,0
9,3,0
10,3,0
11,3,0
12,4,0
13,0,0
14,0,0
15,1,0
16,2,0
17,3,0
18,3,0
19,3,0
20,3,0
21,4,0
22,4,0
23,0,0
24,2,0
25,3,0
26,3,0
27,3,0
28,1,0
29,3,0
30,3,0
31,3,0
32,3,0
33,0,0
34,2,0
35,1,0
36,0,0
37,3,0
38,3,0
39,2,0
40,2,0
41,3,0
42,3,0
43,3,0
44,3,0
45,2,0
46,3,0
47,3,0
48,0,0
49,3,0
50,3,0
51,1,0
52,3,0
53,3,0
54,3,0
55,0,0
56,0,0
57,0,0
58,3,0
59,3,0
60,3,0
61,4,0
62,3,0
63,3,0
64,0,0
65,3,0
66,2,0
67,3,0
68,3,0
69,3,0
70,3,0
71,3,0
72,1,0
73,3,0
74,3,0
75,0,0
76,0,0
77,3,0
78,3,0
79,3,0
80,4,0
81,0,0
82,3,0
83,1,0
84,3,0
85,0,0
86,3,0
87,3,0
88,3,0
89,3,0
90,1,0
91,3,0
92,2,0
93,3,0
94,4,0
95,0,0
96,3,0
97,3,0
98,3,0
99,0,0
100,3,0
101,3,0
102,3,0
103,0,0
104,3,0
105,3,0
106,3,0
107,1,0
108,3,0
109,3,0
110,3,0
111,1,0
112,3,0
113,2,0
114,1,0
115,2,0
116,2,0
117,3,0
118,0,0
119,1,0
120,3,0
121,2,0
122,1,0
123,3,0
124,3,0
125,3,0
126,2,0
127,0,0
128,2,0
129,2,0
130,1,0
131,3,0
132,3,0
133,2,0
134,4,0
135,3,0
136,3,0
137,3,0
138,3,0
139,1,0
140,3,0
141,0,0
142,3,0
143,2,0
144,4,0
145,3,0
146,3,0
147,3,0
148,2,0
149,2,0
150,4,0
151,3,0
152,3,0
153,3,0
154,3,0
155,3,0
156,1,0
157,3,0
158,4,0
159,3,0
160,0,0
161,3,0
162,0,0
163,0,0
164,3,0
165,3,0
166,3,0
167,4,0
168,2,0
169,3,0
170,3,0
171,3,0
172,3,0
173,4,0
174,3,0
175,3,0
176,3,0
177,3,0
178,0,0
179,4,0
180,3,0
181,3,0
182,4,0
183,0,0
184,3,0
185,2,0
186,3,0
187,4,0
188,2,0
189,3,0
190,0,0
191,0,0
192,3,0
193,3,0
194,3,0
195,0,0
196,1,0
197,4,0
198,1,0
199,0,0
200,3,0
201,3,0
202,3,0
203,3,0
204,3,0
205,3,0
206,3,0
207,3,0
208,3,0
209,0,0
210,3,0
211,3,0
212,3,0
213,2,0
214,4,0
215,4,0
216,3,0
217,3,0
218,0,0
219,3,0
220,0,0
221,4,0
222,3,0
223,3,0
224,4,0
225,4,0
226,0,0
227,0,0
228,2,0
229,3,0
230,2,0
231,4,0
232,3,0
233,4,0
234,3,0
235,3,0
236,3,0
237,3,0
238,3,0
239,3,0
240,3,0
241,4,0
242,3,0
243,3,0
244,1,0
245,3,0
246,3,0
247,3,0
248,3,0
249,0,0
250,2,0
251,3,0
252,3,0
253,3,0
254,3,0
255,0,0
256,0,0
257,2,0
258,3,0
259,3,0
260,3,0
261,3,0
262,3,0
263,3,0
264,3,0
265,3,0
266,3,0
267,3,0
268,1,0
269,3,0
270,2,0
271,0,0
272,3,0
273,3,0
274,4,0
275,3,0
276,0,0
277,3,0
278,3,0
279,3,0
280,0,0
281,3,0
282,3,0
283,3,0
284,0,0
285,3,0
286,3,0
287,3,0
288,3,0
289,4,0
290,3,0
291,3,0
292,3,0
293,3,0
294,0,0
295,3,0
296,3,0
297,3,0
298,2,0
299,3,0
300,2,0
301,2,0
302,2,0
303,3,0
304,3,0
305,2,0
306,0,0
307,3,0
308,3,0
309,0,0
310,3,0
311,1,0
312,1,0
313,3,0
314,3,0
315,3,0
316,3,0
317,3,0
318,3,0
319,3,0
320,3,0
321,3,0
322,0,0
323,3,0
324,3,0
325,2,0
326,3,0
327,3,0
328,0,0
329,3,0
330,2,0
331,3,0
332,3,0
333,3,0
334,3,0
335,3,0
336,3,0
337,3,0
338,0,0
339,2,0
340,0,0
341,3,0
342,3,0
343,3,0
344,3,0
345,3,0
346,3,0
347,3,0
348,4,0
349,3,0
350,3,0
351,3,0
352,3,0
353,3,0
354,3,0
355,3,0
356,1,0
357,3,0
358,2,0
359,3,0
360,3,0
361,3,0
362,3,0
363,3,0
364,3,0
365,4,0
366,3,0
367,4,0
368,3,0
369,4,0
370,3,0
371,3,0
372,0,0
373,3,0
374,3,0
375,2,0
376,3,0
377,3,0
378,2,0
379,3,0
380,3,0
381,2,0
382,3,0
383,3,0
384,3,0
385,1,0
386,3,0
387,3,0
388,1,0
389,3,0
390,3,0
391,3,0
392,3,0
393,3,0
394,0,0
395,2,0
396,3,0
397,3,0
398,3,0
399,4,0
400,3,0
401,3,0
402,3,0
403,1,0
404,3,0
405,1,0
406,1,0
407,3,0
408,1,0
409,3,0
410,0,0
411,4,0
412,3,0
413,0,0
414,3,0
415,3,0
416,3,0
417,3,0
418,3,0
419,1,0
420,3,0
421,4,0
422,3,0
423,4,0
424,3,0
425,3,0
426,2,0
427,3,0
428,3,0
429,0,0
430,3,0
431,3,0
432,0,0
433,3,0
434,3,0
435,3,0
436,3,0
437,3,0
438,3,0
439,3,0
440,3,0
441,2,0
442,3,0
443,3,0
444,0,0
445,3,0
446,3,0
447,1,0
448,3,0
449,3,0
450,3,0
451,3,0
452,3,0
453,3,0
454,4,0
455,1,0
456,0,0
457,2,0
458,3,0
459,3,0
460,0,0
461,0,0
462,0,0
463,2,0
464,3,0
465,3,0
466,3,0
467,3,0
468,1,0
469,0,0
470,1,0
471,1,0
472,3,0
473,3,0
474,3,0
475,3,0
476,3,0
477,0,0
478,3,0
479,3,0
480,3,0
481,0,0
482,3,0
483,3,0
484,1,0
485,3,0
486,2,0
487,4,0
488,1,0
489,3,0
490,3,0
491,0,0
492,3,0
493,4,0
494,0,0
495,3,0
496,3,0
497,1,0
498,2,0
499,0,0
500,3,0
501,3,0
502,3,0
503,2,0
504,1,0
505,4,0
506,4,0
507,2,0
508,3,0
509,3,0
510,3,0
511,3,0
512,0,0
513,3,0
514,2,0
515,3,0
516,3,0
517,2,0
518,3,0
519,1,0
520,0,0
521,3,0
522,0,0
523,3,0
524,3,0
525,0,0
526,2,0
527,0,0
528,3,0
529,3,0
530,3,0
531,3,0
532,3,0
533,2,0
534,0,0
535,0,0
536,4,0
537,0,0
538,0,0
539,0,0
540,0,0
541,3,0
542,0,0
543,3,0
544,0,0
545,3,0
546,3,0
547,0,0
548,0,0
549,3,0
550,3,0
